"year","causeOfDeath","sex","deaths"
2011,"Hypertensive disease","Females",1203
2011,"Hypertensive disease","Total",1805
2012,"Hypertensive disease","Males",664
2012,"Hypertensive disease","Females",1197
2012,"Hypertensive disease","Total",1861
2013,"Hypertensive disease","Males",764
2013,"Hypertensive disease","Females",1387
2013,"Hypertensive disease","Total",2151
2014,"Hypertensive disease","Males",797
2014,"Hypertensive disease","Females",1428
2014,"Hypertensive disease","Total",2225
1940,"Coronary heart disease","Males",3048
1940,"Coronary heart disease","Females",1362
1940,"Coronary heart disease","Total",4410
1941,"Coronary heart disease","Males",3234
1941,"Coronary heart disease","Females",1594
1941,"Coronary heart disease","Total",4828
1942,"Coronary heart disease","Males",3442
1942,"Coronary heart disease","Females",1699
1942,"Coronary heart disease","Total",5141
1943,"Coronary heart disease","Males",3643
1943,"Coronary heart disease","Females",1722
1943,"Coronary heart disease","Total",5365
1944,"Coronary heart disease","Males",3675
1944,"Coronary heart disease","Females",1841
1944,"Coronary heart disease","Total",5516
1945,"Coronary heart disease","Males",4055
1945,"Coronary heart disease","Females",1827
1945,"Coronary heart disease","Total",5882
1946,"Coronary heart disease","Males",4758
1946,"Coronary heart disease","Females",2214
1946,"Coronary heart disease","Total",6972
1947,"Coronary heart disease","Males",5003
1947,"Coronary heart disease","Females",2389
1947,"Coronary heart disease","Total",7392
1948,"Coronary heart disease","Males",5494
1948,"Coronary heart disease","Females",2655
1948,"Coronary heart disease","Total",8149
1949,"Coronary heart disease","Males",5795
1949,"Coronary heart disease","Females",2656
1949,"Coronary heart disease","Total",8451
1950,"Coronary heart disease","Males",7580
1950,"Coronary heart disease","Females",3889
1950,"Coronary heart disease","Total",11469
1951,"Coronary heart disease","Males",8481
1951,"Coronary heart disease","Females",4336
1951,"Coronary heart disease","Total",12817
1952,"Coronary heart disease","Males",9361
1952,"Coronary heart disease","Females",4786
1952,"Coronary heart disease","Total",14147
1953,"Coronary heart disease","Males",9383
1953,"Coronary heart disease","Females",4943
1953,"Coronary heart disease","Total",14326
1954,"Coronary heart disease","Males",9850
1954,"Coronary heart disease","Females",5151
1954,"Coronary heart disease","Total",15001
1955,"Coronary heart disease","Males",10409
1955,"Coronary heart disease","Females",5394
1955,"Coronary heart disease","Total",15803
1956,"Coronary heart disease","Males",11184
1956,"Coronary heart disease","Females",5932
1956,"Coronary heart disease","Total",17116
1957,"Coronary heart disease","Males",10731
1957,"Coronary heart disease","Females",6018
1957,"Coronary heart disease","Total",16749
1958,"Coronary heart disease","Males",11520
1958,"Coronary heart disease","Females",6474
1958,"Coronary heart disease","Total",17994
1959,"Coronary heart disease","Males",12805
1959,"Coronary heart disease","Females",6916
1959,"Coronary heart disease","Total",19721
1960,"Coronary heart disease","Males",13590
1960,"Coronary heart disease","Females",7596
1960,"Coronary heart disease","Total",21186
1961,"Coronary heart disease","Males",14094
1961,"Coronary heart disease","Females",7894
1961,"Coronary heart disease","Total",21988
1962,"Coronary heart disease","Males",15308
1962,"Coronary heart disease","Females",8735
1962,"Coronary heart disease","Total",24043
1963,"Coronary heart disease","Males",16073
1963,"Coronary heart disease","Females",9264
1963,"Coronary heart disease","Total",25337
1964,"Coronary heart disease","Males",16869
1964,"Coronary heart disease","Females",10061
1964,"Coronary heart disease","Total",26930
1965,"Coronary heart disease","Males",17252
1965,"Coronary heart disease","Females",10188
1965,"Coronary heart disease","Total",27440
1966,"Coronary heart disease","Males",18235
1966,"Coronary heart disease","Females",11086
1966,"Coronary heart disease","Total",29321
1967,"Coronary heart disease","Males",18311
1967,"Coronary heart disease","Females",11042
1967,"Coronary heart disease","Total",29353
1968,"Coronary heart disease","Males",20342
1968,"Coronary heart disease","Females",13069
1968,"Coronary heart disease","Total",33411
1969,"Coronary heart disease","Males",19943
1969,"Coronary heart disease","Females",12768
1969,"Coronary heart disease","Total",32711
1970,"Coronary heart disease","Males",20515
1970,"Coronary heart disease","Females",13424
1970,"Coronary heart disease","Total",33939
1971,"Coronary heart disease","Males",20116
1971,"Coronary heart disease","Females",13457
1971,"Coronary heart disease","Total",33573
1972,"Coronary heart disease","Males",19963
1972,"Coronary heart disease","Females",13193
1972,"Coronary heart disease","Total",33156
1973,"Coronary heart disease","Males",19810
1973,"Coronary heart disease","Females",13178
1973,"Coronary heart disease","Total",32988
1974,"Coronary heart disease","Males",20554
1974,"Coronary heart disease","Females",14075
1974,"Coronary heart disease","Total",34629
1975,"Coronary heart disease","Males",19610
1975,"Coronary heart disease","Females",13121
1975,"Coronary heart disease","Total",32731
1976,"Coronary heart disease","Males",20334
1976,"Coronary heart disease","Females",13512
1976,"Coronary heart disease","Total",33846
1977,"Coronary heart disease","Males",19352
1977,"Coronary heart disease","Females",13323
1977,"Coronary heart disease","Total",32675
1978,"Coronary heart disease","Males",19163
1978,"Coronary heart disease","Females",13369
1978,"Coronary heart disease","Total",32532
1979,"Coronary heart disease","Males",18519
1979,"Coronary heart disease","Females",12418
1979,"Coronary heart disease","Total",30937
1980,"Coronary heart disease","Males",18310
1980,"Coronary heart disease","Females",12418
1980,"Coronary heart disease","Total",30728
1981,"Coronary heart disease","Males",18670
1981,"Coronary heart disease","Females",12763
1981,"Coronary heart disease","Total",31433
1982,"Coronary heart disease","Males",18923
1982,"Coronary heart disease","Females",13422
1982,"Coronary heart disease","Total",32345
1983,"Coronary heart disease","Males",18261
1983,"Coronary heart disease","Females",13127
1983,"Coronary heart disease","Total",31388
1984,"Coronary heart disease","Males",17867
1984,"Coronary heart disease","Females",13084
1984,"Coronary heart disease","Total",30951
1985,"Coronary heart disease","Males",18641
1985,"Coronary heart disease","Females",13962
1985,"Coronary heart disease","Total",32603
1986,"Coronary heart disease","Males",18057
1986,"Coronary heart disease","Females",13946
1986,"Coronary heart disease","Total",32003
1987,"Coronary heart disease","Males",17988
1987,"Coronary heart disease","Females",14105
1987,"Coronary heart disease","Total",32093
1988,"Coronary heart disease","Males",17737
1988,"Coronary heart disease","Females",13847
1988,"Coronary heart disease","Total",31584
1989,"Coronary heart disease","Males",18132
1989,"Coronary heart disease","Females",14507
1989,"Coronary heart disease","Total",32639
1990,"Coronary heart disease","Males",17186
1990,"Coronary heart disease","Females",13988
1990,"Coronary heart disease","Total",31174
1991,"Coronary heart disease","Males",16753
1991,"Coronary heart disease","Females",13570
1991,"Coronary heart disease","Total",30323
1992,"Coronary heart disease","Males",17063
1992,"Coronary heart disease","Females",14419
1992,"Coronary heart disease","Total",31482
1993,"Coronary heart disease","Males",16337
1993,"Coronary heart disease","Females",13425
1993,"Coronary heart disease","Total",29762
1994,"Coronary heart disease","Males",16515
1994,"Coronary heart disease","Females",14060
1994,"Coronary heart disease","Total",30575
1995,"Coronary heart disease","Males",16133
1995,"Coronary heart disease","Females",13480
1995,"Coronary heart disease","Total",29613
1996,"Coronary heart disease","Males",16092
1996,"Coronary heart disease","Females",13545
1996,"Coronary heart disease","Total",29637
1997,"Coronary heart disease","Males",15791
1997,"Coronary heart disease","Females",13666
1997,"Coronary heart disease","Total",29457
1998,"Coronary heart disease","Males",15256
1998,"Coronary heart disease","Females",13043
1998,"Coronary heart disease","Total",28299
1999,"Coronary heart disease","Males",14865
1999,"Coronary heart disease","Females",12744
1999,"Coronary heart disease","Total",27609
2000,"Coronary heart disease","Males",14052
2000,"Coronary heart disease","Females",12469
2000,"Coronary heart disease","Total",26521
2001,"Coronary heart disease","Males",13906
2001,"Coronary heart disease","Females",12328
2001,"Coronary heart disease","Total",26234
2002,"Coronary heart disease","Males",13855
2002,"Coronary heart disease","Females",12208
2002,"Coronary heart disease","Total",26063
2003,"Coronary heart disease","Males",13534
2003,"Coronary heart disease","Females",11905
2003,"Coronary heart disease","Total",25439
2004,"Coronary heart disease","Males",13152
2004,"Coronary heart disease","Females",11424
2004,"Coronary heart disease","Total",24576
2005,"Coronary heart disease","Males",12433
2005,"Coronary heart disease","Females",11137
2005,"Coronary heart disease","Total",23570
2006,"Coronary heart disease","Males",12286
2006,"Coronary heart disease","Females",10846
2006,"Coronary heart disease","Total",23132
2007,"Coronary heart disease","Males",12275
2007,"Coronary heart disease","Females",10681
2007,"Coronary heart disease","Total",22956
2008,"Coronary heart disease","Males",12546
2008,"Coronary heart disease","Females",11267
2008,"Coronary heart disease","Total",23813
2009,"Coronary heart disease","Males",12096
2009,"Coronary heart disease","Females",10491
2009,"Coronary heart disease","Total",22587
2010,"Coronary heart disease","Males",11723
2010,"Coronary heart disease","Females",9998
2010,"Coronary heart disease","Total",21721
2011,"Coronary heart disease","Males",11741
2011,"Coronary heart disease","Females",9785
2011,"Coronary heart disease","Total",21526
2012,"Coronary heart disease","Males",10954
2012,"Coronary heart disease","Females",9154
2012,"Coronary heart disease","Total",20108
2013,"Coronary heart disease","Males",11018
2013,"Coronary heart disease","Females",8751
2013,"Coronary heart disease","Total",19769
2014,"Coronary heart disease","Males",11082
2014,"Coronary heart disease","Females",9091
2014,"Coronary heart disease","Total",20173
1979,"Stroke","Males",4916
1979,"Stroke","Females",6773
1979,"Stroke","Total",11689
1980,"Stroke","Males",5109
1980,"Stroke","Females",6957
1980,"Stroke","Total",12066
1981,"Stroke","Males",4981
1981,"Stroke","Females",7094
1981,"Stroke","Total",12075
1982,"Stroke","Males",5061
1982,"Stroke","Females",7306
1982,"Stroke","Total",12367
1983,"Stroke","Males",4520
1983,"Stroke","Females",6518
1983,"Stroke","Total",11038
1984,"Stroke","Males",4379
1984,"Stroke","Females",6346
1984,"Stroke","Total",10725
1985,"Stroke","Males",4462
1985,"Stroke","Females",6758
1985,"Stroke","Total",11220
1986,"Stroke","Males",4297
1986,"Stroke","Females",6385
1986,"Stroke","Total",10682
1987,"Stroke","Males",4328
1987,"Stroke","Females",6265
1987,"Stroke","Total",10593
1988,"Stroke","Males",4301
1988,"Stroke","Females",6217
1988,"Stroke","Total",10518
1989,"Stroke","Males",4306
1989,"Stroke","Females",6295
1989,"Stroke","Total",10601
1990,"Stroke","Males",4143
1990,"Stroke","Females",6274
1990,"Stroke","Total",10417
1991,"Stroke","Males",4169
1991,"Stroke","Females",6086
1991,"Stroke","Total",10255
1992,"Stroke","Males",4215
1992,"Stroke","Females",6131
1992,"Stroke","Total",10346
1993,"Stroke","Males",4179
1993,"Stroke","Females",6312
1993,"Stroke","Total",10491
1994,"Stroke","Males",4457
1994,"Stroke","Females",6459
1994,"Stroke","Total",10916
1995,"Stroke","Males",4348
1995,"Stroke","Females",6455
1995,"Stroke","Total",10803
1996,"Stroke","Males",4427
1996,"Stroke","Females",6575
1996,"Stroke","Total",11002
1997,"Stroke","Males",3745
1997,"Stroke","Females",5381
1997,"Stroke","Total",9126
1998,"Stroke","Males",3688
1998,"Stroke","Females",5391
1998,"Stroke","Total",9079
1999,"Stroke","Males",3673
1999,"Stroke","Females",5466
1999,"Stroke","Total",9139
2000,"Stroke","Males",3638
2000,"Stroke","Females",5367
2000,"Stroke","Total",9005
2001,"Stroke","Males",3530
2001,"Stroke","Females",5194
2001,"Stroke","Total",8724
2002,"Stroke","Males",3575
2002,"Stroke","Females",5403
2002,"Stroke","Total",8978
2003,"Stroke","Males",3605
2003,"Stroke","Females",5401
2003,"Stroke","Total",9006
2004,"Stroke","Males",3510
2004,"Stroke","Females",5236
2004,"Stroke","Total",8746
2005,"Stroke","Males",3347
2005,"Stroke","Females",4848
2005,"Stroke","Total",8195
2006,"Stroke","Males",3348
2006,"Stroke","Females",5147
2006,"Stroke","Total",8495
2007,"Stroke","Males",3469
2007,"Stroke","Females",5162
2007,"Stroke","Total",8631
2008,"Stroke","Males",3473
2008,"Stroke","Females",5319
2008,"Stroke","Total",8792
2009,"Stroke","Males",3294
2009,"Stroke","Females",4973
2009,"Stroke","Total",8267
